Bat freq,Species,Datalogger,Download date,Recording date,Time,Channel,BPM,Antenna,Power,Day,Date_Time,Temp
150.189,MYSE,8322,7/15/2014,7/11/2014,18:30:27,4,18.7,AH0,80,Day,7/11/2014 18:30,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:30:30,4,18.7,AH0,78,Day,7/11/2014 18:30,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:30:33,4,18.7,AH0,78,Day,7/11/2014 18:30,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:30:49,4,18.7,AH0,78,Day,7/11/2014 18:30,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:30:52,4,18.7,AH0,79,Day,7/11/2014 18:30,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:31:08,4,18.7,AH0,79,Day,7/11/2014 18:31,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:31:12,4,18.7,AH0,79,Day,7/11/2014 18:31,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:31:28,4,18.7,AH0,79,Day,7/11/2014 18:31,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:31:31,4,18.7,AH0,78,Day,7/11/2014 18:31,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:31:47,4,18.6,AH0,78,Day,7/11/2014 18:31,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:31:50,4,18.7,AH0,79,Day,7/11/2014 18:31,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:32:09,4,18.6,AH0,77,Day,7/11/2014 18:32,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:32:13,4,18.6,AH0,78,Day,7/11/2014 18:32,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:32:29,4,18.7,AH0,78,Day,7/11/2014 18:32,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:32:32,4,18.6,AH0,78,Day,7/11/2014 18:32,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:32:48,4,18.6,AH0,77,Day,7/11/2014 18:32,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:32:51,4,18.6,AH0,77,Day,7/11/2014 18:32,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:33:07,4,18.6,AH0,78,Day,7/11/2014 18:33,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:33:11,4,18.6,AH0,79,Day,7/11/2014 18:33,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:33:27,4,18.6,AH0,78,Day,7/11/2014 18:33,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:33:30,4,18.6,AH0,79,Day,7/11/2014 18:33,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:33:49,4,18.6,AH0,79,Day,7/11/2014 18:33,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:33:52,4,18.6,AH0,78,Day,7/11/2014 18:33,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:34:09,4,18.6,AH0,80,Day,7/11/2014 18:34,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:34:12,4,18.6,AH0,78,Day,7/11/2014 18:34,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:34:28,4,18.6,AH0,78,Day,7/11/2014 18:34,22.1467544
