Bat freq,Species,Datalogger,Download date,Recording date,Time,Channel,Day,Date_Time,BPM
150.073,MYSE,8443,2014/08/01,2014/07/30,08:08:21,1,Day,7/30/14 8:08,15.4
150.073,MYSE,8443,2014/08/01,2014/07/30,08:09:19,1,Day,7/30/14 8:09,15.6
150.073,MYSE,8443,2014/08/01,2014/07/30,08:10:20,1,Day,7/30/14 8:10,15.7
150.073,MYSE,8443,2014/08/01,2014/07/30,08:11:18,1,Day,7/30/14 8:11,15.5
150.073,MYSE,8443,2014/08/01,2014/07/30,08:11:22,1,Day,7/30/14 8:11,15.5
150.073,MYSE,8443,2014/08/01,2014/07/30,08:12:19,1,Day,7/30/14 8:12,15.7
150.073,MYSE,8443,2014/08/01,2014/07/30,08:13:17,1,Day,7/30/14 8:13,15.7
150.073,MYSE,8443,2014/08/01,2014/07/30,08:13:20,1,Day,7/30/14 8:13,15.7
150.073,MYSE,8443,2014/08/01,2014/07/30,08:14:17,1,Day,7/30/14 8:14,15.8
150.073,MYSE,8443,2014/08/01,2014/07/30,08:14:21,1,Day,7/30/14 8:14,15.8
150.073,MYSE,8443,2014/08/01,2014/07/30,08:15:18,1,Day,7/30/14 8:15,15.9
150.073,MYSE,8443,2014/08/01,2014/07/30,08:15:22,1,Day,7/30/14 8:15,15.9
150.073,MYSE,8443,2014/08/01,2014/07/30,08:16:18,1,Day,7/30/14 8:16,16.2
150.073,MYSE,8443,2014/08/01,2014/07/30,08:16:22,1,Day,7/30/14 8:16,16.3
150.073,MYSE,8443,2014/08/01,2014/07/30,08:17:16,1,Day,7/30/14 8:17,16.5
150.073,MYSE,8443,2014/08/01,2014/07/30,08:17:20,1,Day,7/30/14 8:17,16.4
150.073,MYSE,8443,2014/08/01,2014/07/30,08:18:18,1,Day,7/30/14 8:18,16.2
150.073,MYSE,8443,2014/08/01,2014/07/30,08:19:19,1,Day,7/30/14 8:19,15.8
150.073,MYSE,8443,2014/08/01,2014/07/30,08:20:18,1,Day,7/30/14 8:20,16.6
150.073,MYSE,8443,2014/08/01,2014/07/30,08:20:21,1,Day,7/30/14 8:20,16.6
150.073,MYSE,8443,2014/08/01,2014/07/30,08:21:19,1,Day,7/30/14 8:21,16.6
150.073,MYSE,8443,2014/08/01,2014/07/30,08:22:18,1,Day,7/30/14 8:22,16.3
150.073,MYSE,8443,2014/08/01,2014/07/30,08:22:22,1,Day,7/30/14 8:22,16.2
150.073,MYSE,8443,2014/08/01,2014/07/30,08:23:16,1,Day,7/30/14 8:23,16.9
150.073,MYSE,8443,2014/08/01,2014/07/30,08:23:20,1,Day,7/30/14 8:23,17
150.073,MYSE,8443,2014/08/01,2014/07/30,08:24:16,1,Day,7/30/14 8:24,16.8
150.073,MYSE,8443,2014/08/01,2014/07/30,08:24:20,1,Day,7/30/14 8:24,16.6
150.073,MYSE,8443,2014/08/01,2014/07/30,08:25:19,1,Day,7/30/14 8:25,16.7
150.073,MYSE,8443,2014/08/01,2014/07/30,08:26:17,1,Day,7/30/14 8:26,17.5
150.073,MYSE,8443,2014/08/01,2014/07/30,08:26:21,1,Day,7/30/14 8:26,17.6
150.073,MYSE,8443,2014/08/01,2014/07/30,08:27:18,1,Day,7/30/14 8:27,17.7
150.073,MYSE,8443,2014/08/01,2014/07/30,08:27:22,1,Day,7/30/14 8:27,17.7
150.073,MYSE,8443,2014/08/01,2014/07/30,08:28:17,1,Day,7/30/14 8:28,17.4
150.073,MYSE,8443,2014/08/01,2014/07/30,08:28:20,1,Day,7/30/14 8:28,17.5
150.073,MYSE,8443,2014/08/01,2014/07/30,08:29:15,1,Day,7/30/14 8:29,17.5
